2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6475472c
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@3e14c16d
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration url -> org.hibernate.type.UrlType@1951b871
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1951b871
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration Duration -> org.hibernate.type.DurationType@1ae67cad
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@1ae67cad
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration Instant -> org.hibernate.type.InstantType@bff34c6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@bff34c6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@3381b4fc
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@3381b4fc
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@40f70521
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@40f70521
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@2a2c13a8
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@2a2c13a8
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3542162a
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3542162a
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@476b0ae6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@476b0ae6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@20a14b55
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@20a14b55
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration date -> org.hibernate.type.DateType@3f0846c6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@3f0846c6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration time -> org.hibernate.type.TimeType@5a7005d
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@5a7005d
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration timestamp -> org.hibernate.type.TimestampType@3e7634b9
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@3e7634b9
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@3e7634b9
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@3dd1dc90
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration calendar -> org.hibernate.type.CalendarType@68b6f0d6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@68b6f0d6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@68b6f0d6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@3b7ff809
